Scancode
BSD License (no advertising)
BSD License (original)
BSD License (two clause)
BSD-Original
BSD-Original-UC
BSD Protection License
BSD Source Code Attribution
BSD with attribution
BSD Zero Clause License
bsl1.0
BSL (v1.0)
BSL (v1)
bzip2 and libbzip2 License v1.0.5
bzip2 and libbzip2 License v1.0.6
bzip2 License 2010
Caldera License
ca-tosl1.1
CA Trusted Open Source License 1.1
CC0 1.0
CC-BY 4.0
CC-BY-SA 4.0
CC-PD
#CDDL-1.0
CDDL 1.0
CDDL 1.1
cddl1
CDDL v1.0
"CDDL, v1.0"
CDLA Permissive 1.0
CDLA Sharing 1.0
"Cea Cnrs Inria Logiciel Libre License, Version 2.1"
CeCILL 1.0
CeCILL 1.1 English
CeCILL 2.0
CeCILL 2.1
CeCILL-B Free Software License Agreement
CeCILL-B License
CeCILL-C Free Software License Agreement
CeCILL-C License
CeCILL Free Software License Agreement v1.0
CeCILL Free Software License Agreement v1.1
CeCILL Free Software License Agreement v2.0
CeCILL Free Software License Agreement v2.1
CeCILL License 2.1
CERN Open Hardware Licence v1.1
CERN Open Hardware Licence v1.2
CERN Open Hardware Licence Version 2 - Permissive
CERN Open Hardware Licence Version 2 - Strongly Reciprocal
CERN Open Hardware Licence Version 2 - Weakly Reciprocal
CERN Open Hardware License v1.1
Clarified Artistic License
Classpath exception to GPL 2.0
Classpath exception to GPL 2.0 or later
Clear BSD
Clear BSD License
CMU License
CMU UC Regents License
CNRI Jython License
CNRI LICENSE AGREEMENT FOR PYTHON 1.6.1
CNRI portion of the multi-part Python License
CNRI Python 1.6.1
CNRI Python 1.6
CNRI Python License
CNRI Python Open Source GPL Compatible License Agreement
Code Project Open License 1.02
Common Development and Distribution License 1.0
Common Development and Distribution License 1.1
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0
"Common Development and Distribution License, Version 1.0"
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0 governed by the laws of the State of California
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.1
Common Public Attribution License 1.0
Common Public Attribution License Version 1.0
Common Public Attribution License Version 1.0 (CPAL-1.0)
Common Public License 1.0
Common Public License Version 1.0
"Common Public License, Version 1.0"
Community Data License Agreement Permissive 1.0
Community Data License Agreement Sharing 1.0
Computer Associates Trusted Open Source License 1.1
Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1)
"Computer Associates Trusted Open Source License, Version 1.1"
Condor Public License 1.1
Condor Public License v1.1
copyleft-next 0.3.0
copyleft-next 0.3.1
cpal_1.0
CPAL 1.0
CPL 1.0
CPL
CPOL 1.02
Creative Commons Attribution 1.0 Generic
Creative Commons Attribution 2.0 Generic
Creative Commons Attribution 2.5 Generic
Creative Commons Attribution 3.0 Austria
Creative Commons Attribution 3.0 United States
Creative Commons Attribution 3.0 Unported
Creative Commons Attribution 4.0
Creative Commons Attribution 4.0 International
Creative Commons Attribution No Derivatives 1.0 Generic
Creative Commons Attribution No Derivatives 2.0 Generic
Creative Commons Attribution No Derivatives 2.5 Generic
Creative Commons Attribution No Derivatives 3.0 Unported
Creative Commons Attribution-NoDerivatives 4.0 International
Creative Commons Attribution No Derivatives 4.0 International
Creative Commons Attribution-NoDerivs 2.5 Generic
Creative Commons Attribution-NoDerivs 3.0 Unported
Creative Commons Attribution Non Commercial 1.0 Generic
Creative Commons Attribution Non Commercial 2.0 Generic
Creative Commons Attribution Non Commercial 2.5 Generic
Creative Commons Attribution Non Commercial 3.0 Unported
Creative Commons Attribution-NonCommercial 4.0
Creative Commons Attribution Non Commercial 4.0 International
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported
Creative Commons Attribution Non Commercial No Derivatives 4.0 International
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported
Creative Commons Attribution Non Commercial Share Alike 4.0 International
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International
Creative Commons Attribution Share Alike 1.0 Generic
Creative Commons Attribution-ShareAlike 1.0 Generic
Creative Commons Attribution Share Alike 2.0 England and Wales
Creative Commons Attribution Share Alike 2.0 Generic
Creative Commons Attribution-ShareAlike 2.0 Generic
Creative Commons Attribution-ShareAlike 2.5
Creative Commons Attribution Share Alike 2.5 Generic
Creative Commons Attribution-Share Alike 3.0 Austria
Creative Commons Attribution Share Alike 3.0 Unported
Creative Commons Attribution-ShareAlike 3.0 Unported
Creative Commons Attribution Share-Alike 4.0
Creative Commons Attribution Share Alike 4.0 International
Creative Commons Attribution-ShareAlike 4.0 International
Creative Commons CC0 1.0 Universal
Creative Commons Copyright-Only Dedication (based on United States law) or Public Domain Certification
Creative Commons Public Domain Dedication and Certification
Creative Commons ShareAlike 1.0 Generic
Creative Commons Zero 1.0
Creative Commons Zero v1.0 Universal
Creative Comnons Attribution-NonCommercial 1.0 Generic
Creative Comnons Attribution-NonCommercial-NoDerivs 3.0 Unported
Crossword License
Cryptographic Autonomy License 1.0
Cryptographic Autonomy License 1.0 (Combined Work Exception)
Crystal Stacker License
CrystalStacker License
CUA Office Public License 1.0
CUA Office Public License
CUA Office Public License v1.0
Cube License
curl License
cURL License
Deutsche Freie Software Lizenz
diffmark license
diffmark License
DOC License
Dom4j License
DOM4J License
Dotseqn License
#doubt on this - shouldn't be written or later
Do What The F*ck You Want To Public License
Do What The Fuck You Want To Public License (WTFPL) 2
DSDP License
dvipdfm License
ECL 1.0
ECL 2.0
ecl2
eclipse-1.0
eclipse-2.0
Eclipse Public License 1.0
Eclipse Public License 2.0
Eclipse Public License - v 2.0
Eclipse Public License Version 1.0
"Eclipse Public License, Version 1.0"
"Eclipse Public License, Version 1.0"
Eclipse Public License Version 2.0
"Eclipse Public License, Version 2.0"
Educational Community License 1.0
Educational Community License 2.0
Educational Community License v1.0
Educational Community License v2.0
"Educational Community License, Version 1.0"
"Educational Community License, Version 2.0"
EFL 1.0
EFL 2.0
EFL MIT-Style License
eGenix.com Public License 1.1.0
eGenix Public License 1.1.0
Eiffel Forum License 2.0
Eiffel Forum License v1.0
Eiffel Forum License v2.0
"Eiffel Forum License, Version 2"
Enlightenment License (e16)
enna License
Entessa 1.0
Entessa Public License 1.0
Entessa Public License
Entessa Public License v1.0
EPICS Open License
#EPL-1.0
EPL 1.0
EPL 1.0
#EPL-2.0
EPL 2.0
EPL 2.0
Erlang Public License 1.1
Erlang Public License v1.1
ERLANG PUBLIC LICENSE Version 1.1
Etalab Open License 2.0
EU Datagrid Software License
EU DataGrid Software License
EUPL 1.0
EUPL 1.1
EUPL 1.2
European Union Public Licence 1.2
"European Union Public Licence, v.1.1"
European Union Public License 1.0
European Union Public License 1.1
European Union Public License 1.2
"European Union Public License, Version 1.1"
Eurosym License
Expat License
Expat
Expat
Fair License
Fair License (Fair)
FastCGI DevKit
feh License
Frameworx 1.0
Frameworx License 1.0
"Frameworx License, Version 1.0"
Frameworx Open License 1.0
FreeBSD License
FreeImage Public License 1.0
FreeImage Public License v1.0
Freetype Project License
FreeType Project License
FreeType Project LICENSE
FSF All Permissive license
FSF All Permissive License
FSF Free Software License
FSF-Unlimited
FSF Unlimited License
FSF Unlimited License (with License Retention)
GFDL 1.1
GFDL 1.1 or later
GFDL 1.2
GFDL 1.2 or later
GFDL 1.3
GFDL 1.3 or later
Giftware License
GL2PS License
"GL2PS LICENSE, Version 2"
Glulxe License
GNU Affero General Public License 3.0
GNU Affero General Public License (AGPL-3.0) (v. 3.0)
GNU Affero General Public License v3.0 only
GNU Affero General Public License v3.0 or later
GNU Affero General Public License v3
"GNU AFFERO GENERAL PUBLIC LICENSE, Version 3 (AGPL-3.0)"
GNU AFFERO GENERAL PUBLIC LICENSE Version 3
GNU AGPLv3
GNU Free Documentation License v1.1 only
GNU Free Documentation License v1.1 only - invariants
GNU Free Documentation License v1.1 only - no invariants
GNU Free Documentation License v1.1 or later
GNU Free Documentation License v1.1 or later - invariants
GNU Free Documentation License v1.1 or later - no invariants
GNU Free Documentation License v1.2 only
GNU Free Documentation License v1.2 only - invariants
GNU Free Documentation License v1.2 only - no invariants
GNU Free Documentation License v1.2 or later
GNU Free Documentation License v1.2 or later - invariants
GNU Free Documentation License v1.2 or later - no invariants
GNU Free Documentation License v1.3 only
GNU Free Documentation License v1.3 only - invariants
GNU Free Documentation License v1.3 only - no invariants
GNU Free Documentation License v1.3 or later
GNU Free Documentation License v1.3 or later - invariants
GNU Free Documentation License v1.3 or later - no invariants
GNU General Public License 2.0
GNU General Public License v1.0 only
GNU General Public License v1.0 or later
GNU General Public License v2.0 only
GNU General Public License v2.0 or later
GNU General Public License Version 1
"GNU General Public License, Version 2.0"
GNU General Public License Version 2
GNU General Public License Version 2
GNU General Public License Version 3.0
"GNU General Public License, Version 3.0"
GNU GPLv2
GNU Lesser General Public License 2.1
GNU Lesser General Public License v2.1 only
GNU Lesser General Public License v2.1 or later
GNU Lesser General Public License Version 2.1
GNU Lesser General Public License Version 2.1
"GNU Lesser General Public License, Version 2.1"
GNU Lesser General Public License Version 3
"GNU Lesser General Public License, Version 3"
"GNU Lesser General Public License, Version 3 or later"
GNU LGPLv2.1
GNU Library General Public License v2 only
GNU Library General Public License v2 or later
GNU Library General Public License Version 2
GNU Library or Lesser General Public License (LGPL) V2.1
gnuplot License
Good Luck With That Public License
GPL 1.0
GPL-1.0
GPL1.0
GPL-1.0+
GPL1.0+
GPL 1.0 or later
GPL1
GPL1+
gpl-2.0
GPL 2.0
GPL 2.0
GPL-2.0
GPL2.0
GPL-2.0+
GPL2.0+
#GPL-2.0-only
GPL 2.0 only
#GPL-2.0-or-later
GPL 2.0 or later
GPL 2.0 or later
#GPL-2.0-with-classpath-exception
GPL 2
GPL2
GPL2+
GPL 3.0
#GPL-3.0-only
GPL 3.0 only
GPL-3.0-only
GPL-3.0-or-later
GPL 3.0 or later
GPL 3
GPL (v2)
GPL (v2 or later)
gSOAP Public License v1.3b
gSOAP Public License Version 1.3b
Haskell Language Report License
Haskell Report License
Henry Spencer License 1999
Henry Spencer Regexp License
Hippocratic License 2.1
Hippocratic License v2.1
Historical Permission Notice and Disclaimer
Historical Permission Notice and Disclaimer - sell variant
ibmpl
IBM PowerPC Initialization and Boot Software
IBM PowerPC Software
IBM Public License 1.0
IBM Public License v1.0
IBM Public License Version 1.0
"IBM Public License, Version 1.0"
ICU
IJG License
ImageMagick License
iMatix Standard Function Library Agreement
Imlib2 License
Independent JPEG Group License
Indiana Extreme License 1.2
Info-ZIP copyright and license (version 2005-Feb-10)
Info-Zip License
Info-ZIP License
Info-ZIP license (Version 2007-Mar-04)
Info-ZIP license (version 2009-Jan-02)
Intel ACPI SLA
Intel ACPI Software License Agreement
Intel BSD - Export Control
Intel License Agreement
Intel Open Source License
intel-osl
Interbase Public License 1.0
Interbase Public License v1.0
"INTERBASE PUBLIC LICENSE, Version 1.0 by ""Borland Software Corporation"""
"InterBase Public License, Version 1.0"
IPA Font License 1.0
IPA Font License Agreement v1.0
IPA Font License
IPL 1.0
isc-license
ISC license
ISC License
ISC License (ISC)
Japan Network Information Center License
JasPer 2.0
JasPer License
JasPer License Version 2.0
JPEG License
JPNIC idnkit License
JSON License
Latex2e License
LaTeX Project Public License 1.3c
LaTeX Project Public License v1.0
LaTeX Project Public License v1.1
LaTeX Project Public License v1.2
LaTeX Project Public License v1.3a
LaTeX Project Public License v1.3c
"LaTeX Project Public License, Version 1.3c"
LaTeX Project Public License Version 1.3c
Lawrence Berkeley National Labs BSD variant license
LBNL BSD Variant
Leptonica License
Lesser General Public License For Linguistic Resources
LGPL 2.0
LGPL 2.0 or later
lgpl-2.1
LGPL 2.1
LGPL 2.1
LGPL-2.1
LGPL2.1
LGPL-2.1+
LGPL2.1+
#LGPL-2.1-only
#LGPL-2.1-or-later
LGPL 2.1 or later
LGPL-3.0-only
#LGPL-3.0-or-later
LGPL-3.0-or-later
LGPL 3.0 or later
#LGPL 3
LGPL v2.1
LGPL (v2.1)
LGPL v2.1 or later
"LGPL, v2.1 or later"
LGPL (v2.1 or later)
libpng License
Libpng License
libpng license (libpng-1.2.6 and later)
LIbpng License v2
libselinux public domain notice
libtiff License
Licence Art Libre 1.2
Licence Art Libre 1.3
Licence Libre du Québec – Permissive version 1.1
"Licence Libre du Québec – Permissive, Version 1.1"
Licence Libre du Québec – Réciprocité forte version 1.1
"Licence Libre du Québec – Réciprocité forte, Version 1.1"
Licence Libre du Québec – Réciprocité version 1.1
"Licence Libre du Québec – Réciprocité, Version 1.1"
License :: OSI Approved :: Academic Free License (AFL)
License :: OSI Approved :: Apache Software License
License :: OSI Approved :: Apple Public Source License
License :: OSI Approved :: Artistic License
License :: OSI Approved :: Attribution Assurance License
License :: OSI Approved :: BSD License
"License :: OSI Approved :: CEA CNRS Inria Logiciel Libre License, version 2.1 (CeCILL-2.1)"
License :: OSI Approved :: Common Public License
License :: OSI Approved :: Eiffel Forum License
License :: OSI Approved :: European Union Public Licence 1.1 (EUPL 1.1)
License :: OSI Approved :: GNU Affero General Public License v3
License :: OSI Approved :: GNU General Public License v2 (GPLv2)
License :: OSI Approved :: GNU Lesser General Public License v2 (LGPLv2)
License :: OSI Approved :: IBM Public License
License :: OSI Approved :: Intel Open Source License
License :: OSI Approved :: ISC License (ISCL)
License :: OSI Approved :: MIT License
License :: OSI Approved :: Motosoto License
License :: OSI Approved :: Mozilla Public License 1.0 (MPL)
License :: OSI Approved :: Mozilla Public License 1.1 (MPL 1.1)
License :: OSI Approved :: Mozilla Public License 2.0 (MPL 2.0)
License :: OSI Approved :: Nethack General Public License
License :: OSI Approved :: Nokia Open Source License
License :: OSI Approved :: Open Group Test Suite License
License :: OSI Approved :: Python License (CNRI Python License)
License :: OSI Approved :: Python Software Foundation License
License :: OSI Approved :: Qt Public License (QPL)
License :: OSI Approved :: Ricoh Source Code Public License
License :: OSI Approved :: Sleepycat License
License :: OSI Approved :: Sun Industry Standards Source License (SISSL)
License :: OSI Approved :: Sun Public License
License :: OSI Approved :: University of Illinois/NCSA Open Source License
License :: OSI Approved :: Vovida Software License 1.0
License :: OSI Approved :: W3C License
License :: OSI Approved :: X.Net License
License :: OSI Approved :: zlib/libpng License
License :: OSI Approved :: Zope Public License
LiLiQ-P
LiLiQ-R
LiLiQ-R+
Linux Kernel Variant of OpenIB.org license
LPPL 1.0
LPPL 1.1
LPPL 1.2
LPPL 1.3a
LPPL 1.3c
Lucent Public License 1.02
Lucent Public License 1.0
"Lucent Public License (""Plan9"") 1.0"
"Lucent Public License, Plan 9, Version 1.0"
Lucent Public License v1.02
"Lucent Public License, Version 1.02"
Lucent Public License Version 1.0
MakeIndex Distribution Notice
MakeIndex License
Matrix Template Library License
Microsoft Public License
Microsoft Public License (MS-PL)
Microsoft Reciprocal License
Microsoft Reciprocal License (MS-RL)
MirOS Licence
MirOS License
#MIT
MIT-0-Clause
MIT Acknowledgment License
MIT/Expat License
MIT license (also X11)
MIT Licensed
mit-license
MIT License
MIT License
MIT license / X11 license
MIT No Attribution
MIT +no-false-attribs license
MIT +no-false-attribs License
MIT no false attribution License
MIT Old Style no advertising
MIT with Export Control
Modified BSD License
Modified BSD License
MongoDB SSPL 1.0
Motosoto 0.9.1
Motosoto License
"Motosoto Open Source License, Version 0.9.1"
mozilla1.1
mozilla2.0
Mozilla Public License 1.0
Mozilla Public License 1.1
Mozilla Public License 1.1 (MPL 1.1)
Mozilla Public License 2.0
Mozilla Public License 2.0
Mozilla Public License 2.0 (no copyleft exception)
Mozilla Public License 2
Mozilla Public License Version 1.0
"Mozilla Public License, Version 1.0"
Mozilla Public License Version 1.1
"Mozilla Public License, Version 1.1"
Mozilla Public License Version 2.0
Mozilla Public License Version 2.0
"Mozilla Public License, Version 2.0"
"Mozilla Public License, Version 2.0"
mpich2 License
MPICH License
MPL 1.0
#MPL-1.1
MPL 1.1
MPL 1.1
#MPL-2.0
MPL 2.0
MPL 2.0
MPL 2.0 with no copyleft exception
MPL2
"Mulan Permissive Software License, Version 1"
"Mulan Permissive Software License, Version 2"
Mulan PSL v1
Mulan PSL v2
Multics License
Mup License
nasa1.3
NASA 1.3
NASA Open Source Agreement 1.3
"NASA Open Source Agreement, Version 1.3"
Naumen Public License
NAUMEN Public License
NCSA Open Source License
Net Boolean Public License v1
NetCDF Copyright
NetCDF Copyright(version 2009)
NetCDF license
NetCDF License
Nethack General Public License
Netizen Open Source License
Netscape Public License 1.1
Netscape Public License v1.0
Netscape Public License v1.1
Netscape Public License Version 1.1
Net SNMP License
Net-SNMP License
New BSD License
New BSD License
Newsletr License
NIST Public Domain Notice
NIST Public Domain Notice with fallback
NIST Public Domain Notice with license fallback
Nokia Open Source License
"Nokia Open Source License, Version 1.0a"
NOKOS License 1.0a
No Limit Public License
Non-Commercial Government Licence
Non-Profit Open Software License 3.0
Non-Profit OSL 3.0
Norwegian Licence for Open Government Data
NOSL 1.0
nosl3.0
# not completely sure about this - is not present in SPDX list
Noweb License
NPL 1.0
NPL 1.1
NRL License
NTP License
NTP License (NTP)
NTP No Attribution
oclc2
OCLC Research Public License 2.0
ODbL 1.0
ODbL
ODC Open Database License v1.0
ODC-PDDL-1.0
ODC Public Domain Dedication & License 1.0
OFL 1.0
OFL 1.1
OGC 1.0
"OGC Software License, Version 1.0"
OGL-CA-2.0
OGL Canada 2.0
Open CASCADE Technology Public License
Open Data Commons Attribution License 1.0
Open Data Commons Attribution License v1.0
Open Data Commons Open Database License 1.0
Open Data Commons Public Domain Dedication and Licence 1.0
Open Font License 1.1
Open Government Licence 1.0 (United Kingdom)
Open Government Licence 2.0 (United Kingdom)
Open Government Licence 3.0 (United Kingdom)
Open Government Licence - Canada
Open Government Licence v1.0
Open Government Licence v2.0
Open Government Licence v3.0
Open Government License 2.0 (Canada)
Open Group Test Suite License
OpenLDAP Public License 1.1
OpenLDAP Public License 1.2
OpenLDAP Public License 1.3
OpenLDAP Public License 1.4
OpenLDAP Public License 2.0.1
OpenLDAP Public License 2.0
OpenLDAP Public License 2.1
OpenLDAP Public License 2.2.1
Open LDAP Public License 2.2.2
OpenLDAP Public License 2.2.2
OpenLDAP Public License 2.2
OpenLDAP Public License 2.3
OpenLDAP Public License 2.4
OpenLDAP Public License 2.5
OpenLDAP Public License 2.6
OpenLDAP Public License 2.7
OpenLDAP Public License 2.8
Open LDAP Public License v1.1
Open LDAP Public License v1.2
Open LDAP Public License v1.3
Open LDAP Public License v1.4
Open LDAP Public License v2.0.1
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B)
Open LDAP Public License v2.1
Open LDAP Public License v2.2.1
Open LDAP Public License v2.2
Open LDAP Public License v2.3
Open LDAP Public License v2.4
Open LDAP Public License v2.5
Open LDAP Public License v2.6
Open LDAP Public License v2.7
Open LDAP Public License v2.8
Open Market License
Open MPI License
Open Public License 1.0
Open Public License v1.0
Open Software License 1.0
Open Software License 1.1
Open Software License 2.0
Open Software License 2.1
Open Software License 3.0
"Open Software License, Version 1.0"
"Open Software License, version 2.1"
"Open Software License, Version 2.1"
"Open Software License, Version 3.0"
OpenSSH License
OpenSSL license
OpenSSL License
OpenSSL/SSLeay License
Open Use of Data Agreement v1.0
Open Watcom 1.0
Oracle BSD-Style with Nuclear Restrictions
OSET Public License version 2.1
OSL 1.0
OSL 1.1
OSL 2.0
OSL 2.1
OSL 3.0
PDDL 1.0
PHP License 3.01
PHP License 3.0
PHP License v3.01
PHP License v3.0
"PHP License, version 3.01"
"PHP License, version 3.0"
Plexus Classworlds License
PNG Reference Library version 2
Polyform Noncommercial License 1.0.0
PolyForm Noncommercial License 1.0.0
Polyform Small Business License 1.0.0
PolyForm Small Business License 1.0.0
PostgreSQL License
psfrag License
PS Utilities License
psutils License
Python License 2.0
"Python License, Version 2.0"
Python Software Foundation License 2.0
Python Software Foundation License 2
PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2
Qhull License
QPL 1.0
Q Public License 1.0
Q Public License
Q PUBLIC LICENSE version 1.0
Rdisc License
RealNetworks Public Source License 1.0
RealNetworks Public Source License v1.0
RealNetworks Public Source License V1.0
"RealNetworks Public Source License, Version 1.0"
Reciprocal Public License 1.1
Reciprocal Public License 1.5
"Reciprocal Public License, Version 1.1"
"Reciprocal Public License, Version 1.5"
Red Hat eCos Public License 1.1
Red Hat eCos Public License v1.1
Regexp License
Revised BSD License
Ricoh Source Code Public License 1.0
Ricoh Source Code Public License
RPL 1.1
RPL 1.5
RSA-MD5 License
RSA Message-Digest License 
RSA Message-Digest License
Ruby License (1.9.2 and earlier)
Ruby License (1.9.3 and later)
Ruby License
Saxpath License
Sax Public Domain Notice
scancode://abstyles
scancode://ace-tao
scancode://adapt-1.0
scancode://adobe-glyph
scancode://adobe-scl
scancode://adsl
scancode://afl-1.1
scancode://afl-1.2
scancode://afl-2.0
scancode://afl-2.1
scancode://afl-3.0
scancode://afmparse
scancode://afpl-8.0
scancode://agpl-1.0
scancode://agpl-1.0-plus
scancode://agpl-3.0
scancode://agpl-3.0-plus
scancode://allegro-4
scancode://amdplpa
scancode://aml
scancode://ampas
scancode://antlr-pd
scancode://apache-1.0
scancode://apache-1.1
scancode://apache-2.0
scancode://apafml
scancode://apsl-1.0
scancode://apsl-1.1
scancode://apsl-1.2
scancode://apsl-2.0
scancode://artistic-1.0
scancode://artistic-1.0-cl8
scancode://artistic-2.0
scancode://artistic-clarified
scancode://artistic-perl-1.0
scancode://attribution
scancode://bahyph
scancode://barr-tex
scancode://beerware
scancode://bittorrent-1.0
scancode://bittorrent-1.1
scancode://blessing
scancode://blueoak-1.0.0
scancode://boost-1.0
scancode://borceux
scancode://bsd-1-clause
scancode://bsd-2-clause-views
scancode://bsd-3-clause-no-nuclear-warranty
scancode://bsd-3-clause-open-mpi
scancode://bsd-ack
scancode://bsd-new
scancode://bsd-original
scancode://bsd-original-uc
scancode://bsd-plus-patent
scancode://bsd-protection
scancode://bsd-simplified
scancode://bsd-source-code
scancode://bsd-zero
scancode://bzip2-libbzip-2010
scancode://cal-1.0
scancode://cal-1.0-combined-work-exception
scancode://caldera
scancode://can-ogl-2.0-en
scancode://ca-tosl-1.1
scancode://cc0-1.0
scancode://cc-by-1.0
scancode://cc-by-2.0
scancode://cc-by-2.5
scancode://cc-by-3.0-at
scancode://cc-by-3.0
scancode://cc-by-4.0
scancode://cc-by-nc-1.0
scancode://cc-by-nc-2.0
scancode://cc-by-nc-2.5
scancode://cc-by-nc-3.0
scancode://cc-by-nc-4.0
scancode://cc-by-nc-nd-1.0
scancode://cc-by-nc-nd-2.0
scancode://cc-by-nc-nd-2.5
scancode://cc-by-nc-nd-3.0
scancode://cc-by-nc-nd-3.0-igo
scancode://cc-by-nc-nd-4.0
scancode://cc-by-nc-sa-1.0
scancode://cc-by-nc-sa-2.0
scancode://cc-by-nc-sa-2.5
scancode://cc-by-nc-sa-3.0
scancode://cc-by-nc-sa-4.0
scancode://cc-by-nd-1.0
scancode://cc-by-nd-2.0
scancode://cc-by-nd-2.5
scancode://cc-by-nd-3.0
scancode://cc-by-nd-4.0
scancode://cc-by-sa-1.0
scancode://cc-by-sa-2.0
scancode://cc-by-sa-2.5
scancode://cc-by-sa-3.0-at
scancode://cc-by-sa-3.0
scancode://cc-by-sa-4.0
scancode://cc-pd
